PropertyDamageRef,CaseRef,PropertyDamage_Type
PD/LA/23,C/LA/2689,Boats
PD/LA/230,C/EGD/743,Dairy
PD/LA/231,C/EGD/697,Animals
PD/LA/27,C/EGD/888,Boats
PD/LA/28,C/EGD/887,Boats
PD/LA/29,C/EGD/893,Boats
PD/LA/3,C/EGD/160,Boats
PD/LA/30,C/EGD/385,Buildings
PD/LA/31,C/EGD/401,Whole Estate
PD/LA/32,C/EGD/434,Buildings
PD/LA/33,C/EGD/434,Mill
PD/LA/34,C/EGD/434,Crops
PD/LA/35,C/EGD/409,Animals
PD/LA/36,C/EGD/409,Whole Estate
PD/LA/37,C/EGD/411,Animals
PD/LA/38,C/EGD/411,Whole Estate
PD/LA/4,C/EGD/160,Crops
PD/LA/47,C/LA/2876,Boats
PD/LA/48,C/EGD/1243,Boats
PD/LA/49,C/EGD/1242,Boats
PD/LA/5,C/EGD/160,Dairy
PD/LA/50,C/EGD/1241,Boats
PD/LA/51,C/EGD/1244,Boats
PD/LA/52,C/EGD/1245,Boats
PD/LA/53,C/EGD/1246,Boats
PD/LA/54,C/EGD/1247,Boats
PD/LA/55,C/EGD/1248,Boats
PD/LA/56,C/EGD/1249,Boats
PD/LA/57,C/EGD/1250,Boats
PD/LA/58,C/EGD/1251,Boats
PD/LA/59,C/EGD/1252,Boats
PD/LA/6,C/EGD/160,Fishing
PD/LA/60,C/EGD/132,Dairy
PD/LA/61,C/EGD/133,Dairy
PD/LA/62,C/EGD/137,Crops
PD/LA/63,C/EGD/137,Animals
PD/LA/64,C/LA/2889,Crops
PD/LA/65,C/LA/2889,Animals
PD/LA/66,C/EGD/140,Dairy
PD/LA/67,C/EGD/147,Ale
PD/LA/68,C/EGD/140,Crops
PD/LA/69,C/EGD/141,Ale
PD/LA/7,C/EGD/160,Whole Estate
PD/LA/72,C/EGD/59,Buildings
PD/LA/73,C/EGD/59,Boats
PD/LA/74,C/EGD/59,Crops
PD/LA/75,C/EGD/59,Animals
PD/LA/77,C/EGD/63,Boats
PD/LA/8,C/EGD/162,Animals
PD/LA/9,C/EGD/162,Buildings
