MeetingPlaceRef,CaseRef,MeetingPlace_Place,Inversion,Location
MP/LA/505,C/EGD/1779,,0,Kilpatrick
MP/LA/506,C/EGD/1779,Moor,0,Kilmacolme
MP/LA/507,C/EGD/1779,Yard,0,christian shaw's
MP/LA/508,C/EGD/1779,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/509,C/EGD/1779,House,0,murdered child
MP/LA/510,C/LA/2973,,0,kilpatrick
MP/LA/511,C/LA/2973,Moor,0,kilmacolme
MP/LA/512,C/LA/2973,Yard,0,Christian Shaw's
MP/LA/513,C/LA/2973,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/514,C/LA/2973,House,0,murdered boy
MP/LA/515,C/LA/2974,,0,kilpatrick
MP/LA/516,C/LA/2974,Moor,0,kilmacolme
MP/LA/517,C/LA/2974,Yard,0,Christian Shaw's
MP/LA/518,C/LA/2974,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/519,C/LA/2974,House,0,murdered boy
MP/LA/520,C/LA/2975,,0,Kilpatrick
MP/LA/521,C/LA/2975,Moor,0,Kilmacolme
MP/LA/522,C/LA/2975,Yard,0,Christian Shaw's
MP/LA/523,C/LA/2975,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/524,C/LA/2975,House,0,murdered boy
MP/LA/525,C/LA/2976,,0,kilpatrick
MP/LA/526,C/LA/2976,Moor,0,kilmacolme
MP/LA/527,C/LA/2976,Yard,0,Christian Shaw's
MP/LA/528,C/LA/2976,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/529,C/LA/2976,House,0,murdered boy
MP/LA/530,C/LA/2977,,0,kilpatrick
MP/LA/531,C/LA/2977,Moor,0,Kilmacolme
MP/LA/532,C/LA/2977,Yard,0,christian shaw's
MP/LA/533,C/LA/2977,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/534,C/LA/2977,House,0,murdered boy
MP/LA/535,C/LA/2978,,0,kilpatrick
MP/LA/536,C/LA/2978,Moor,0,Kilmacolme
MP/LA/537,C/LA/2978,Yard,0,christian shaw
MP/LA/538,C/LA/2978,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/539,C/LA/2978,House,0,murdered boy
MP/LA/540,C/LA/2979,,0,kilpatrick
MP/LA/541,C/LA/2979,Moor,0,kilmacolme
MP/LA/542,C/LA/2979,Yard,0,christian shaw
MP/LA/543,C/LA/2979,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/544,C/LA/2979,House,0,murdered boy
MP/LA/545,C/LA/2980,,0,Kilpatrick
MP/LA/546,C/LA/2980,Moor,0,Kilmacolme
MP/LA/547,C/LA/2980,Yard,0,Christian Shaw
MP/LA/548,C/LA/2980,Yard,0,"murdered minister, Mr. John Hardie"
MP/LA/549,C/LA/2980,House,0,murdered boy
MP/LA/55,C/EGD/1170,River,0,head of deadman's burne
MP/LA/552,C/EGD/162,Den,0,near Niddrie
MP/LA/553,C/EGD/166,Hilltop,0,Coldingham Law
MP/LA/554,C/EGD/674,Yard,0,
MP/LA/555,C/EGD/674,Shore,0,Eyemouth
MP/LA/556,C/LA/3019,Shore,0,Eyemouth
MP/LA/557,C/LA/3019,Yard,0,
MP/LA/558,C/EGD/301,Forest,0,
MP/LA/559,C/EGD/301,House,0,her own
MP/LA/560,C/EGD/238,Mill,0,Babirn
