MeetingPlaceRef,CaseRef,MeetingPlace_Place,Inversion,Location
MP/LA/125,C/EGD/398,Shore,0,tweedsyde
MP/LA/126,C/EGD/398,Dyke,0,green dykes
MP/LA/127,C/EGD/395,Dyke,0,green dykes
MP/LA/128,C/EGD/397,Dyke,0,green dykes
MP/LA/13,C/EGD/166,Hilltop,0,b) Gairnetoun Hillis
MP/LA/130,C/LA/2785,Dyke,0,green dyke
MP/LA/131,C/LA/2786,Dyke,0,green dyke
MP/LA/132,C/EGD/1954,Links,0,Duddingston
MP/LA/133,C/EGD/400,Howe,0,howe by standing stone near Newbridge/Kirkliston
MP/LA/134,C/EGD/400,Shore,0,Cliftonhall side of the water
MP/LA/135,C/EGD/409,Dam,0,Newtoun Deam
MP/LA/136,C/EGD/377,Dam,0,Newtown Dam
MP/LA/137,C/EGD/370,House,0,Wolmet
MP/LA/138,C/EGD/378,Hilltop,0,Blewhill
MP/LA/139,C/LA/2798,Den,0,Newtown Dean
MP/LA/14,C/EGD/166,Hilltop,0,bewest the castle of Dunce
MP/LA/140,C/LA/2798,House,0,her house
MP/LA/141,C/EGD/374,House,0,her own
MP/LA/142,C/EGD/371,River,0,Newtown Burne
MP/LA/143,C/EGD/392,Yard,0,Kirkyard of Dunfyre
MP/LA/149,C/LA/2787,Yard,0,Lady Langtoun's yard
MP/LA/15,C/EGD/166,Forest,0,Saltoun woid
MP/LA/151,C/EGD/359,Well,0,Roland Rutherford's
MP/LA/152,C/EGD/359,Ward,0,Gilmerton Ward
MP/LA/153,C/EGD/360,Road,0,between William Graham's house and hers
MP/LA/154,C/EGD/360,River,0,pow-burn on the route home from Edinburgh
MP/LA/155,C/EGD/404,Road,0,coming from Brandis Milne
MP/LA/156,C/EGD/387,Yard,0,Mortonhall Park
MP/LA/157,C/EGD/415,Yard,0,Gilmerton Park
MP/LA/158,C/EGD/335,Bush,0,
MP/LA/16,C/EGD/166,Hilltop,0,Monkrig above the stob stane
MP/LA/160,C/EGD/1374,Den,0,Hodin Dean
MP/LA/163,C/EGD/1375,Den,0,hodin dean
MP/LA/164,C/EGD/411,Den,0,hodin dean
MP/LA/166,C/EGD/385,Road,0,while ridding a horse to the coal hill
MP/LA/167,C/EGD/377,,0,Newtown
MP/LA/168,C/EGD/381,House,0,either her's or William Tweedie's
MP/LA/17,C/EGD/166,Links,0,Linkis of Prestoun
MP/LA/178,C/LA/2876,River mouth,0,"Dee, beside the blockehous"
MP/LA/179,C/EGD/1243,River mouth,0,"Dee, near the blockehous"
MP/LA/18,C/EGD/166,Moor,0,Cauld Coit mure
MP/LA/180,C/EGD/1242,River mouth,0,"Dee, beside the blockehous"
MP/LA/181,C/EGD/1241,River mouth,0,"Dee, beside the blockehous"
MP/LA/182,C/EGD/1244,River mouth,0,"Dee, beside the blockehous"
MP/LA/183,C/EGD/1245,River mouth,0,"Dee, beside the blockehous"
MP/LA/184,C/EGD/1246,River mouth,0,"Dee, beside the blockehous"
MP/LA/185,C/EGD/1247,River mouth,0,"Dee, beside the blockehous"
MP/LA/186,C/EGD/1248,River mouth,0,"Dee, near the blockehous"
MP/LA/187,C/EGD/1249,River mouth,0,"Dee, by the blockhous"
MP/LA/188,C/EGD/1250,River mouth,0,"Dee, by the blockehous"
MP/LA/189,C/EGD/1251,River mouth,0,"Dee, by the blockehous"
MP/LA/19,C/EGD/166,Road,0,c) heid of the broken Calsey of Niddry
MP/LA/190,C/EGD/1252,River mouth,0,"Dee, by the blockehous"
MP/LA/191,C/EGD/606,Kirkyard,0,west Kirk of Culross
MP/LA/192,C/EGD/607,Kirkyard,0,west kirk of Culross
MP/LA/193,C/EGD/607,House,0,her own
MP/LA/194,C/EGD/608,Kirkyard,0,west kirk of culross
MP/LA/195,C/EGD/609,Kirkyard,0,west kirk of culross
MP/LA/196,C/EGD/609,Bank Side,0,at her mother's house
MP/LA/197,C/EGD/607,,0,the strand
MP/LA/198,C/EGD/607,Hollow,0,Cannieman's hollow
MP/LA/199,C/EGD/606,Shore,0,
MP/LA/2,C/EGD/160,,0,Madeis Loupe
MP/LA/201,C/EGD/694,Haugh,0,Ward Haugh
MP/LA/202,C/EGD/694,Bridge,0,kirk bridge
MP/LA/203,C/EGD/694,Hilltop,0,corsehill
MP/LA/204,C/EGD/694,Wood,0,Ormeston Wood
MP/LA/21,C/EGD/162,Road,0,Heid of the broken Clasay of Nydrie
MP/LA/214,C/EGD/624,Bridge,0,kirk bridge
MP/LA/215,C/EGD/624,Haugh,0,ward haugh
MP/LA/216,C/EGD/624,Hilltop,0,corsehill
MP/LA/217,C/EGD/693,Burn,0,Murrais burne
MP/LA/219,C/EGD/692,Burn,0,Murrais Burne
MP/LA/220,C/EGD/613,Hilltop,0,Barliehill
MP/LA/221,C/EGD/613,Wood,0,wood head of crighton
MP/LA/222,C/EGD/614,Hilltop,0,Barliehill
MP/LA/223,C/EGD/691,House,0,Helen Laying's (c/egd/692)
MP/LA/224,C/EGD/691,,1,flaming fire in Crighton
MP/LA/225,C/EGD/694,,0,Leswade
MP/LA/226,C/EGD/694,,0,Loanhead
MP/LA/227,C/EGD/694,Field,0,
MP/LA/228,C/EGD/694,Burn,0,Cowe burn
MP/LA/229,C/EGD/620,Haugh,0,Ward haugh
MP/LA/23,C/EGD/179,Kirkyard,0,in Glendovan
MP/LA/230,C/EGD/620,Burn,0,Cowe burn
MP/LA/231,C/EGD/692,Burn,0,ward burn
MP/LA/232,C/EGD/692,Yard,0,own yard
MP/LA/233,C/EGD/692,Field,0,black faugh
MP/LA/234,C/EGD/693,House,0,own house between bed and fire
MP/LA/235,C/EGD/693,Burn,0,Templehall burne
MP/LA/237,C/EGD/611,Hilltop,0,Birliehill
MP/LA/24,C/EGD/179,Kirkyard,0,Muckhart
MP/LA/240,C/EGD/696,burn,0,cowe burn
MP/LA/241,C/EGD/696,Bridge,0,Keith Bridge
MP/LA/242,C/EGD/696,House,0,white house in Cranstoun's back yard
MP/LA/245,C/EGD/697,Farm,0,farm brae at midnight
MP/LA/246,C/EGD/697,Dam,0,Line dean
MP/LA/247,C/EGD/697,House,0,white house
MP/LA/25,C/EGD/179,,0,Rumbling Bridge
MP/LA/252,C/EGD/695,Dam,0,Lin Dean
MP/LA/253,C/EGD/695,House,0,whitehouse
MP/LA/254,C/EGD/140,Shore,0,Common Waist Sandhillis near Irving
MP/LA/256,C/EGD/147,Dam,0,Deam futtie of Longniddry
MP/LA/257,C/EGD/147,House,0,Beigis' house
MP/LA/265,C/EGD/140,Kirkyard,0,
MP/LA/266,C/EGD/140,Kirk,0,
MP/LA/267,C/EGD/140,Hilltop,0,Lowdon Hill
MP/LA/280,C/EGD/147,Thorn,0,Seaton-thorn
MP/LA/281,C/EGD/147,Gate,0,iron gate of Seaton
MP/LA/290,C/EGD/137,Craigs,0,Bynnie-craigs
MP/LA/291,C/EGD/137,Craigs,0,Corstorphine-craigs
MP/LA/292,C/EGD/34,Moor,0,Grange-more
MP/LA/293,C/EGD/59,Kirk,1,North Berwick kirk
MP/LA/294,C/EGD/59,Ship,0,A ship off the coast of the pannes
MP/LA/295,C/EGD/59,Hilltop,0,Brumhoillis
MP/LA/300,C/EGD/63,Kirk,1,North Berwick Kirk
MP/LA/301,C/EGD/63,Ship,0,off the coast of the pannes
MP/LA/306,C/EGD/63,Ship,0,the grace of God
MP/LA/307,C/EGD/63,Shore,1,all along the south coast of the forth
MP/LA/308,C/EGD/63,Kirk,0,"Kirk of Garvett, be-eist Burn syde"
MP/LA/309,C/EGD/63,,0,Foulstruther
MP/LA/310,C/EGD/63,Kirk,0,Natoun Kirk
MP/LA/311,C/EGD/63,,0,pier-head
MP/LA/312,C/EGD/63,Kirk,1,North Berwick
MP/LA/32,C/LA/2638,House,0,accomplices' house
MP/LA/33,C/EGD/180,House,0,accomplice's house
MP/LA/34,C/EGD/180,,0,on the way to get ale
MP/LA/355,C/EGD/120,,0,Foulstruther
MP/LA/356,C/EGD/110,Kirk,1,North Berwick
MP/LA/357,C/EGD/110,Salt pans,0,near the pannes
