ImprisonRef,Trialref,CentralTrialImprison,Imprisondate_as_date,Prison,Location,Moving,Fate_in_prison
IM/LA/132,T/LA/437,0,,Tolbooth,Dysart,0,
IM/LA/133,T/LA/438,0,,Tolbooth,Dysart,0,
IM/LA/134,T/LA/439,0,,Tolbooth,Dysart,0,
IM/LA/135,T/LA/440,0,,Tolbooth,Dysart,0,
IM/LA/136,T/LA/479,0,,Tolbooth,Dysart,0,Released
IM/LA/137,T/LA/480,0,,Tolbooth,Dunfermline,0,
IM/LA/138,T/LA/487,0,,Tolbooth,Stirling,0,
IM/LA/139,T/LA/489,0,7/5/2028 0:00:00,Tolbooth,Leith,0,Released
IM/LA/140,T/LA/509,0,8/11/2028 0:00:00,Tolbooth,Musselburgh,0,
IM/LA/15,T/LA/83,1,2/13/2029 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/16,T/LA/15,0,,,Haddington,1,
IM/LA/168,T/LA/83,0,11/1/2028 0:00:00,Tolbooth,Stirling,0,Moved
IM/LA/169,T/LA/83,0,12/19/2028 0:00:00,,Linlithgow,0,Moved
IM/LA/17,T/LA/24,1,2/2/1930 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/170,T/LA/83,0,12/20/2028 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/171,T/LA/83,1,1/8/2029 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/173,T/LA/618,0,,Tolbooth,Dysart,0,Released
IM/LA/174,T/LA/618,0,8/15/1930 0:00:00,Tolbooth,Dysart,0,
IM/LA/175,T/LA/628,0,4/1/1930 0:00:00,Tolbooth,Dysart,0,
IM/LA/177,T/LA/626,0,1/1/2029 0:00:00,Pit,Eyemouth,0,
IM/LA/178,T/LA/720,0,,Tolbooth,Duns,0,Released
IM/LA/179,T/LA/721,0,,Tolbooth,Duns,0,Released
IM/LA/18,T/LA/86,1,11/12/2029 0:00:00,,Edinburgh,0,Released
IM/LA/180,T/LA/726,0,6/1/2029 0:00:00,Tolbooth,Musselburgh,0,
IM/LA/181,T/LA/727,0,6/1/2029 0:00:00,Tolbooth,Musselburgh,0,
IM/LA/182,T/LA/754,0,,Tolbooth,Causland,0,
IM/LA/183,T/LA/755,0,,Tolbooth,Cowsland,0,
IM/LA/184,T/LA/756,0,,Tolbooth,Causland,0,
IM/LA/19,T/LA/87,1,11/12/2029 0:00:00,,Edinburgh,0,Released
IM/LA/2,T/LA/10,1,,Tolbooth,Edinburgh,0,
IM/LA/21,T/LA/88,1,12/17/2029 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/216,T/LA/771,0,,Tolbooth,Jedburgh,0,Released
IM/LA/217,T/LA/772,0,,Tolbooth,Jedburgh,0,Released
IM/LA/218,T/LA/773,0,,Tolbooth,Jedburgh,0,Released
IM/LA/219,T/LA/774,0,,Tolbooth,Edinburgh,0,
IM/LA/22,T/LA/88,0,10/1/2029 0:00:00,House,Newbattle Kirk,1,Moved
IM/LA/220,T/LA/776,0,4/1/1971 0:00:00,Dungeon,Kirkudbrigh,0,Released
IM/LA/221,T/LA/777,0,4/1/1971 0:00:00,Dungeon,Kirkudbrigh,0,Released
IM/LA/222,T/LA/778,0,4/1/1971 0:00:00,Dungeon,Kirkudbright,0,Released
IM/LA/223,T/LA/25,1,7/1/1930 0:00:00,,Edinburgh,0,
IM/LA/224,T/LA/804,0,,Tolbooth,Culross,0,
IM/LA/225,T/LA/803,0,,Tolbooth,Culross,0,
IM/LA/226,T/LA/805,0,,Tolbooth,Culross,0,
IM/LA/227,T/LA/806,0,,Tolbooth,Culross,0,
IM/LA/228,T/LA/808,0,,Tolbooth,Leith,0,
IM/LA/229,T/LA/813,0,,,Renfrew,1,Released
IM/LA/23,T/LA/24,1,2/5/1930 0:00:00,,Edinburgh,0,
IM/LA/230,T/LA/813,0,,,Innerkip,0,
IM/LA/231,T/JO/609,0,,,Edinburgh,0,
IM/LA/232,T/JO/612,1,9/1/1978 0:00:00,,Edinburgh,0,
IM/LA/233,T/JO/610,1,9/1/1978 0:00:00,,Edinburgh,0,
IM/LA/234,T/JO/611,1,9/1/1978 0:00:00,,Edinburgh,0,
IM/LA/235,T/LA/822,1,9/1/1978 0:00:00,,Edinburgh,0,
IM/LA/236,T/LA/823,1,,,Edinburgh,0,
IM/LA/237,T/LA/824,1,,,Edinburgh,0,
IM/LA/238,T/LA/829,1,9/1/1978 0:00:00,,Edinburgh,0,
IM/LA/239,T/JO/609,1,9/1/1978 0:00:00,,Edinburgh,0,
IM/LA/24,T/LA/24,0,1/7/1930 0:00:00,,,0,Moved
IM/LA/240,T/LA/828,1,,,Edinburgh,0,
IM/LA/241,T/LA/830,1,,,Edinburgh,0,
IM/LA/242,T/JO/436,1,9/8/1979 0:00:00,Tolbooth,Edinburgh,0,Released
IM/LA/243,T/LA/849,0,1/1/1980 0:00:00,,Bo'ness,0,
IM/LA/244,T/LA/851,1,,Tolbooth,Edinburgh,0,Released
IM/LA/25,T/LA/24,1,5/23/1930 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/250,T/LA/47,1,,Tolbooth,Edinburgh,0,
IM/LA/26,T/LA/25,1,12/1/1930 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/264,T/LA/999,0,2/1/1932 0:00:00,House,"Nobelstoun, Refrewshire",0,
IM/LA/27,T/LA/104,1,2/11/1934 0:00:00,Tolbooth,Edinburgh,0,Free on bail
IM/LA/28,T/LA/104,1,3/11/1934 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/29,T/LA/104,0,1/9/1934 0:00:00,Tolbooth,Duns,1,
IM/LA/3,T/LA/15,1,8/1/2029 0:00:00,,Edinburgh,0,
IM/LA/307,T/LA/1071,0,,Tolbooth,Perth,0,
IM/LA/308,T/LA/1072,0,,Tolbooth,Perth,0,
IM/LA/309,T/LA/1073,0,,Tolbooth,Perth,0,
IM/LA/310,T/LA/1074,0,,Vestry of the Kirk,Calder,0,Released
IM/LA/311,T/LA/1075,0,,Tolbooth,Culross,0,
IM/LA/312,T/LA/1075,0,12/12/1944 0:00:00,Tolbooth,Canongate,0,
IM/LA/313,T/LA/1076,0,,Tolbooth,Culross,0,Moved
IM/LA/314,T/LA/1089,0,,Tolbooth,Lanark,0,
IM/LA/315,T/LA/1090,0,,Tolbooth,Lanark,0,
IM/LA/316,T/LA/83,0,1/1/2029 0:00:00,Tolbooth,Stirling,0,
IM/LA/317,T/LA/1106,0,,Steeple,Dysart,0,
IM/LA/318,T/LA/1108,0,,,"Berwick, England",0,
IM/LA/319,T/LA/1119,1,10/7/1951 0:00:00,,Ayr,0,
IM/LA/320,T/LA/1161,0,,Tolbooth,Dumfries,0,
IM/LA/321,T/LA/1162,0,,Tolbooth,dumfries,0,
IM/LA/337,T/JO/614,1,12/1/1976 0:00:00,Tolbooth,Paisley,0,
IM/LA/351,T/LA/1189,0,,Tolbooth,Renfrew,0,Moved
IM/LA/352,T/LA/1189,0,4/15/1997 0:00:00,Tolbooth,Glasgow,0,Moved
IM/LA/353,T/LA/1189,0,5/12/1997 0:00:00,Tolbooth,Renfrew,0,
IM/LA/354,T/LA/1191,0,4/15/1997 0:00:00,Tolbooth,Renfrew,0,Moved
IM/LA/355,T/LA/1191,0,5/12/1997 0:00:00,Tolbooth,Glasgow,0,Moved
IM/LA/356,T/LA/1191,0,,Tolbooth,Renfrew,0,
IM/LA/357,T/JO/1131,0,4/15/1997 0:00:00,Tolbooth,Paisley,0,
IM/LA/359,T/JO/1133,0,4/15/1997 0:00:00,Tolbooth,Renfrew,0,Moved
IM/LA/360,T/LA/1190,0,4/15/1997 0:00:00,Tolbooth,Paisley,0,
IM/LA/361,T/LA/1199,0,4/13/1997 0:00:00,Tolbooth,Paisley,0,Moved
IM/LA/362,T/LA/1199,0,4/15/1997 0:00:00,Tolbooth,Glasgow,0,Moved
IM/LA/363,T/LA/1199,0,5/12/1997 0:00:00,Tolbooth,Paisley,0,Moved
IM/LA/364,T/LA/1201,0,4/15/1997 0:00:00,Tolbooth,Renfrew,0,Moved
IM/LA/365,T/LA/1201,0,4/13/1997 0:00:00,Tolbooth,paisley,0,Moved
IM/LA/366,T/LA/1201,0,5/12/1997 0:00:00,Tolbooth,Paisley,0,
IM/LA/367,T/LA/1202,0,7/7/1944 0:00:00,,Dunbar,0,
IM/LA/368,T/LA/1203,0,7/7/1944 0:00:00,,Dunbar,0,
IM/LA/369,T/LA/1204,0,7/7/1944 0:00:00,,Dunbar,0,
IM/LA/370,T/LA/1205,0,7/7/1944 0:00:00,,Dunbar,0,
IM/LA/371,T/JO/1133,0,5/12/1997 0:00:00,Tolbooth,Paisley,0,
IM/LA/372,T/LA/1208,0,4/15/1997 0:00:00,,,0,
IM/LA/373,T/LA/1209,0,4/15/1997 0:00:00,Tolbooth,Renfrew,0,Released
IM/LA/374,T/LA/1210,0,4/15/1997 0:00:00,Tolbooth,Renfrew,0,Released
IM/LA/375,T/LA/1211,0,4/15/1997 0:00:00,,Renfrew,0,
IM/LA/376,T/LA/1212,0,,,Refrew,0,Released
IM/LA/377,T/LA/1213,0,4/15/1997 0:00:00,,Renfrew,0,
IM/LA/378,T/LA/1214,0,4/15/1997 0:00:00,,Renfrew,0,Moved
IM/LA/379,T/LA/1214,0,5/12/1997 0:00:00,,Paisley,0,
IM/LA/380,T/LA/1215,0,4/15/1997 0:00:00,,Renfrew,0,
IM/LA/381,T/LA/1216,0,4/15/1997 0:00:00,,Renfrew,0,
IM/LA/382,T/LA/1217,0,4/15/1997 0:00:00,,Paisley,0,
IM/LA/383,T/LA/1218,0,4/15/1997 0:00:00,,Paisley,0,
IM/LA/384,T/LA/1219,0,4/15/1997 0:00:00,,Renfrew,0,
IM/LA/385,T/LA/1220,0,4/15/1997 0:00:00,,Renfrew,0,
IM/LA/386,T/LA/1221,0,4/15/1997 0:00:00,,Renfrew,0,
IM/LA/387,T/LA/1222,0,4/15/1997 0:00:00,,Renfrew,0,
IM/LA/388,T/LA/1224,1,6/1/2000 0:00:00,,Edinburgh,0,
IM/LA/394,T/JO/419,0,9/1/1958 0:00:00,Tolbooth,Alloa,0,Released
IM/LA/395,T/JO/421,0,12/28/1958 0:00:00,Tolbooth,Alloa,0,Released
IM/LA/396,T/LA/1137,0,,,Stirling,0,
IM/LA/397,T/JO/421,0,3/16/1969 0:00:00,,,0,Released
IM/LA/4,T/LA/15,0,,,Berwick,1,Moved
IM/LA/407,T/LA/1313,0,,Tolbooth,Haddington,0,Moved
IM/LA/408,T/LA/1313,0,1/16/1962 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/409,T/JO/628,0,12/3/1977 0:00:00,Tolbooth,Edinburgh,0,Released
IM/LA/410,T/JO/627,0,12/3/1977 0:00:00,Tolbooth,Edinbrugh,0,Released
IM/LA/411,T/JO/629,0,12/3/1977 0:00:00,Tolbooth,Edinburgh,0,Released
IM/LA/412,T/LA/1395,0,,Tolbooth,Edinburgh,0,Released
IM/LA/413,T/LA/1104,0,6/1/2024 0:00:00,,Orkney,0,
IM/LA/43,T/LA/137,0,6/4/1934 0:00:00,,Ayton,0,
IM/LA/431,T/LA/1164,0,11/1/1962 0:00:00,,Lauder,0,Released
IM/LA/432,T/JO/510,0,,Tolbooth,Linlithgow,0,Released
IM/LA/433,T/LA/873,0,,,Edinburgh,0,
IM/LA/434,T/LA/1503,0,1/12/1950 0:00:00,,Dumfries,0,
IM/LA/435,T/LA/29,0,,Tolbooth,Edinburgh,0,
IM/LA/437,T/LA/1566,0,,Tolbooth,Galloway,0,
IM/LA/438,T/LA/1585,0,8/1/1951 0:00:00,,,0,
IM/LA/439,T/LA/1130,0,,Prison,Stirling,0,
IM/LA/44,T/LA/146,0,3/1/2024 0:00:00,,Eyemouth,0,
IM/LA/440,T/JO/204,0,,Tolbooth,Dunbar,0,
IM/LA/441,T/LA/1620,0,,Tolbooth,Dunbar,0,Moved
IM/LA/442,T/LA/1620,0,3/1/1959 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/443,T/LA/1626,0,,Tolbooth,Dunbar,0,Moved
IM/LA/444,T/LA/1626,0,,Tolbooth,Edinburgh,0,
IM/LA/445,T/LA/1624,0,,Tolbooth,Dunbar,0,Moved
IM/LA/446,T/LA/1624,0,3/1/1959 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/447,T/LA/1622,0,,Tolbooth,Dunbar,0,Moved
IM/LA/448,T/LA/1622,0,3/1/1959 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/449,T/LA/1144,0,,,Kircudbright,0,
IM/LA/45,T/LA/156,0,12/14/1933 0:00:00,,Eyemouth,0,Released
IM/LA/450,T/LA/1141,0,6/1/1959 0:00:00,,Kirkcudbright,0,
IM/LA/451,T/LA/1257,0,6/1/1990 0:00:00,Tolbooth,Aberdeen,0,
IM/LA/452,T/LA/1647,0,7/4/1991 0:00:00,House,Tranent,0,
IM/LA/453,T/LA/1647,0,,Tolbooth,Edinburgh,0,
IM/LA/46,T/LA/156,0,1/1/1934 0:00:00,,Eyemouth,0,
IM/LA/468,T/LA/1651,0,6/1/1991 0:00:00,Pit,Seaton,0,
IM/LA/469,T/LA/1647,0,,Pit,Seaton,0,
IM/LA/47,T/LA/156,0,3/28/1934 0:00:00,,Eyemouth,0,Released
IM/LA/470,T/LA/1674,0,,Tolbooth,Edinburgh,0,
IM/LA/471,T/LA/1649,0,,Tolbooth,Haddington,0,
IM/LA/472,T/LA/1651,0,6/1/1991 0:00:00,Castle,Seaton,0,
IM/LA/473,T/LA/1683,0,,Tolbooth,Tranent,0,
IM/LA/474,T/LA/1727,0,,Tolbooth,Tranent,0,
IM/LA/475,T/LA/1727,0,,Tolbooth,Edinburgh,0,
IM/LA/476,T/LA/1683,0,,Tolbooth,Edinburgh,0,
IM/LA/477,T/LA/1120,0,,Tolbooth,Ayr,0,
IM/LA/478,T/LA/1748,0,,Tolbooth,Ayr,0,
IM/LA/479,T/LA/1750,0,,Tolbooth,Irvine,0,
IM/LA/48,T/LA/157,1,1/12/1944 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/480,T/LA/1800,0,,Tolbooth,Kirkend of Kircudbright,0,
IM/LA/481,T/LA/1799,0,,Tolbooth,Kirkend of Kircudbright,0,
IM/LA/482,T/LA/1805,0,,,Fortrose,0,
IM/LA/483,T/LA/1803,0,,,Fortrose,0,
IM/LA/484,T/JO/1699,0,,Thieves' Hole,Pittenweem,0,
IM/LA/485,T/JO/1699,0,,Dungeon,Pittemweem,0,
IM/LA/49,T/LA/90,1,10/28/1998 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/490,T/LA/1872,0,,Tolbooth,Dumfries,0,
IM/LA/491,T/LA/801,0,,Tolbooth,Haddington,0,
IM/LA/492,T/LA/1900,0,6/1/1932 0:00:00,Steeple,Lasswade,0,
IM/LA/493,T/LA/1247,0,3/1/1998 0:00:00,Priory,Bewlie (in Ross),0,Released
IM/LA/494,T/LA/776,0,,Tolbooth,Dumfries,0,
IM/LA/495,T/LA/1937,0,12/18/1934 0:00:00,Tolbooth,Haddington,0,
IM/LA/496,T/JO/1174,0,8/28/1949 0:00:00,Steeple,Inverkeithing,0,Moved
IM/LA/497,T/JO/1174,0,,,Burntisland,0,
IM/LA/498,T/LA/1977,0,,Steeple,Dunfermline,0,Moved
IM/LA/499,T/LA/1977,0,4/1/1949 0:00:00,Tolbooth,Dunfermline,0,
IM/LA/5,T/LA/15,0,7/13/2029 0:00:00,Tolbooth,Duns,1,Moved
IM/LA/500,T/JO/575,0,,Tolbooth,Peebles,0,
IM/LA/501,T/LA/2135,0,6/1/1942 0:00:00,Tolbooth,Duns,0,
IM/LA/502,T/LA/2138,0,11/1/1949 0:00:00,Old Exchequer House,Edinburgh,0,
IM/LA/503,T/LA/1115,1,,,Edinburgh,0,
IM/LA/513,T/LA/852,0,,,,0,Released
IM/LA/514,T/LA/853,0,,,,0,Released
IM/LA/515,T/LA/854,0,,,,0,Released
IM/LA/516,T/LA/850,0,,,,0,Released
IM/LA/53,T/LA/175,0,,,Perth,0,
IM/LA/54,T/LA/204,0,,,Dunkeld,0,
IM/LA/55,T/LA/205,0,,,Dunkeld,0,
IM/LA/56,T/LA/207,0,7/6/2009 0:00:00,,Crichton,0,Rescued
IM/LA/57,T/LA/207,1,,Tolbooth,Edinburgh,0,
IM/LA/58,T/LA/207,0,7/1/2009 0:00:00,Tolbooth,Musselburgh,1,
IM/LA/59,T/LA/220,0,,Tolbooth,Perth,0,
IM/LA/6,T/LA/37,0,,Tolbooth,Edinburgh,0,
IM/LA/60,T/LA/221,0,,Tolbooth,Perth,0,
IM/LA/61,T/LA/231,0,,Tolbooth,Dunblane,0,
IM/LA/62,T/LA/232,0,,Tolbooth,Dunblane,0,
IM/LA/63,T/LA/241,0,,Tolbooth,Linlithgow,0,
IM/LA/64,T/LA/242,0,,Tolbooth,Linlithgow,0,
IM/LA/65,T/LA/244,0,,,Irvine,0,
IM/LA/66,T/LA/243,0,,,Irvine,0,
IM/LA/67,T/LA/245,0,8/1/2017 0:00:00,Tolbooth,Stirling,0,
IM/LA/68,T/LA/247,0,,,Irvine,0,
IM/LA/69,T/LA/248,0,,,Ayr,0,
IM/LA/7,T/LA/40,1,7/1/1944 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/70,T/LA/249,0,,,Ayr,0,
IM/LA/71,T/LA/250,0,,,Brechin,0,
IM/LA/72,T/LA/251,0,,,Inverkeithing,0,
IM/LA/73,T/LA/252,0,,,Crail,0,
IM/LA/74,T/LA/253,0,,,Inverkeithing,0,
IM/LA/75,T/LA/254,0,,,Inverkeithing,0,
IM/LA/76,T/LA/255,0,,,Inverkeithing,0,
IM/LA/77,T/LA/256,0,,,Inverkeithing,0,
IM/LA/78,T/LA/258,0,,,Inverkeithing,0,
IM/LA/79,T/LA/260,1,,Tolbooth,Edinburgh,0,Released
IM/LA/80,T/LA/261,1,,Tolbooth,Edinburgh,0,
IM/LA/81,T/LA/263,0,,,Musselburgh,0,
IM/LA/82,T/LA/264,0,,Tolbooth,Musselburgh,0,
IM/LA/83,T/LA/265,0,,Tolbooth,Musselburgh,0,
IM/LA/84,T/LA/266,0,,,Musselburgh,0,
IM/LA/85,T/LA/286,1,,Tolbooth,Edinburgh,0,Released
IM/LA/86,T/LA/287,1,,Tolbooth,Edinburgh,0,Released
IM/LA/87,T/LA/288,0,6/14/1961 0:00:00,Tolbooth,Dalkeith,0,
IM/LA/88,T/LA/302,1,8/9/1961 0:00:00,Tolbooth,Edinburgh,0,
IM/LA/89,T/LA/322,0,,,,0,
IM/LA/90,T/LA/322,1,,,Edinburgh,0,Released
IM/LA/91,T/LA/323,1,,,Edinburgh,0,Released
IM/LA/92,T/LA/325,1,,Tolbooth,Edinburgh,0,
IM/LA/93,T/LA/326,0,,,Haddington,1,
IM/LA/94,T/LA/326,1,,Tolbooth,Edinburgh,0,
IM/LA/96,T/LA/288,0,,,Niddry,1,Moved
IM/LA/97,T/LA/345,0,,,Culross,0,
IM/LA/98,T/LA/346,0,,Tolbooth,Kirkcaldy,0,
IM/LA/99,T/LA/348,0,,Castle,Glasgow,0,
